GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,modules.controllers,GeneratePaymentController,149,3,2,0,31,1,5,1,4,1
demo,modules.controllers,MenuController,2,3,0,0,1,1,1,1,1,1
demo,modules.controllers,StudentController,30,3,0,0,7,1,3,1,3,1
demo,modules.controllers,TestController,27,3,0,0,7,1,2,1,2,1
demo,modules.controllers,CuotaController,82,3,2,0,20,1,6,1,5,1
demo,modules.entities,CuotaEntity,297,42,62,0,3,7,39,12,8,12
demo,modules.entities,TestEntity,234,19,46,0,6,2,34,5,11,5
demo,modules.entities,StudentEntity,339,43,70,0,5,6,45,12,10,12
demo,modules.entities,GeneratePaymentsEntity,382,43,78,0,6,6,51,12,12,12
demo,modules,GeneratePaymentService,49,132,22,8,18,30,17,6,0,6
demo,modules,CuotaService,106,253,23,15,29,56,17,16,1,13
demo,modules,StudentService,0,44,0,0,0,13,0,4,0,4
demo,modules,TestService,52,7,0,0,13,2,6,1,6,1
demo,modules,TopEducation,5,3,0,0,2,1,1,1,1,1
